"study","sub_study","y"
"CDA1-A","CDA1-A-CF1",261.96
"CDA1-A","CDA1-A-CF1",731.94
"CDA1-A","CDA1-A-CF1",14.62
"CDA1-A","CDA1-A-CF1",957.5775
"CDA1-A","CDA1-A-CF1",22.368
"CDA1-A","CDA1-A-CF1",48.86
"CDA1-A","CDA1-A-CF1",7.28
"CDA1-A","CDA1-A-CF1",907.152
"CDA1-A","CDA1-A-CF1",18.504
"CDA1-A","CDA1-A-CF1",114.9
"CDA1-A","CDA1-A-CF1",1706.184
"CDA1-A","CDA1-A-CF1",911.424
"CDA1-A","CDA1-A-CF1",15.552
"CDA1-A","CDA1-A-CF1",407.976
"CDA1-A","CDA1-A-CF1",68.81
"CDA1-A","CDA1-A-CF1",2.544
"CDA1-A","CDA1-A-CF1",665.88
"CDA1-A","CDA1-A-CF1",55.5
"CDA1-A","CDA1-A-CF1",8.56
"CDA1-A","CDA1-A-CF1",213.48
"CDA1-A","CDA1-A-CF1",22.72
"CDA1-A","CDA1-A-CF1",19.46
"CDA1-A","CDA1-A-CF1",60.34
"CDA1-A","CDA1-A-CF1",71.372
"CDA1-A","CDA1-A-CF1",1044.63
"CDA1-A","CDA1-A-CF1",11.648
"CDA1-A","CDA1-A-CF1",90.57
"CDA1-A","CDA1-A-CF1",3083.43
"CDA1-A","CDA1-A-CF1",9.618
"CDA1-A","CDA1-A-CF1",124.2
"CDA1-A","CDA1-A-CF1",3.264
"CDA1-A","CDA1-A-CF1",86.304
"CDA1-A","CDA1-A-CF1",6.858
"CDA1-A","CDA1-A-CF1",15.76
"CDA1-A","CDA1-A-CF1",29.472
"CDA1-A","CDA1-A-CF1",1097.544
"CDA1-A","CDA1-A-CF1",190.92
"CDA1-A","CDA1-A-CF1",113.328
"CDA1-A","CDA1-A-CF1",532.3992
"CDA1-A","CDA1-A-CF1",212.058
"CDA1-A","CDA1-A-CF1",371.168
"CDA1-A","CDA1-A-CF1",147.168
"CDA1-A","CDA1-A-CF1",77.88
"CDA1-A","CDA1-A-CF1",95.616
"CDA1-A","CDA1-A-CF1",45.98
"CDA1-A","CDA1-A-CF1",17.46
"CDA1-A","CDA1-A-CF1",211.96
"CDA1-A","CDA1-A-CF1",45
"CDA1-A","CDA1-A-CF1",21.8
"CDA1-A","CDA1-A-CF1",38.22
"CDA1-A","CDA1-A-CF1",75.18
"CDA1-A","CDA1-A-CF1",6.16
"CDA1-A","CDA1-A-CF1",89.99
"CDA1-A","CDA1-A-CF1",15.26
"CDA1-A","CDA1-A-CF1",1029.95
"CDA1-A","CDA1-A-CF1",208.56
"CDA1-A","CDA1-A-CF1",32.4
"CDA1-A","CDA1-A-CF1",319.41
"CDA1-A","CDA1-A-CF1",14.56
"CDA1-A","CDA1-A-CF1",30
"CDA1-A","CDA1-A-CF1",48.48
"CDA1-A","CDA1-A-CF1",1.68
"CDA1-A","CDA1-A-CF1",13.98
"CDA1-A","CDA1-A-CF1",25.824
"CDA1-A","CDA1-A-CF1",146.73
"CDA1-A","CDA1-A-CF1",79.76
"CDA1-A","CDA1-A-CF1",213.115
"CDA1-A","CDA1-A-CF1",1113.024
"CDA1-A","CDA1-A-CF1",167.968
"CDA1-A","CDA1-A-CF1",75.88
"CDA1-A","CDA1-A-CF1",4.616
"CDA1-A","CDA1-A-CF1",19.05
"CDA1-A","CDA1-A-CF1",831.936
"CDA1-A","CDA1-A-CF1",97.04
"CDA1-A","CDA1-A-CF1",72.784
"CDA1-A","CDA1-A-CF1",1.248
"CDA1-A","CDA1-A-CF1",9.708
"CDA1-A","CDA1-A-CF1",27.24
"CDA1-A","CDA1-A-CF1",19.3
"CDA1-A","CDA1-A-CF1",208.16
"CDA1-A","CDA1-A-CF1",16.74
"CDA1-A","CDA1-A-CF1",14.9
"CDA1-A","CDA1-A-CF1",21.39
"CDA1-A","CDA1-A-CF1",200.984
"CDA1-A","CDA1-A-CF1",230.376
"CDA1-A","CDA1-A-CF1",301.96
"CDA1-A","CDA1-A-CF1",19.99
"CDA1-A","CDA1-A-CF1",6.16
"CDA1-A","CDA1-A-CF1",158.368
"CDA1-A","CDA1-A-CF1",20.1
"CDA1-A","CDA1-A-CF1",73.584
"CDA1-A","CDA1-A-CF1",6.48
"CDA1-A","CDA1-A-CF1",12.96
"CDA1-A","CDA1-A-CF1",53.34
"CDA1-A","CDA1-A-CF1",32.96
"CDA1-A","CDA1-A-CF1",5.682
"CDA1-A","CDA1-A-CF1",96.53
"CDA1-A","CDA1-A-CF1",51.312
"CDA1-A","CDA1-A-CF1",77.88
"CDA1-A","CDA1-A-CF1",64.624
"CDA1-A","CDA1-A-CF1",95.976
"CDA1-A","CDA1-A-CF1",1.788
"CDA1-A","CDA1-A-CF1",23.92
"CDA1-A","CDA1-A-CF1",238.896
"CDA1-A","CDA1-A-CF1",102.36
"CDA1-A","CDA1-A-CF1",36.882
"CDA1-A","CDA1-A-CF1",74.112
"CDA1-A","CDA1-A-CF1",27.992
"CDA1-A","CDA1-A-CF1",3.304
